index,fips,year,temp,tempc
0,1001,1895,62.63333333333333,17.01851851851852
1,1001,1896,65.34166666666667,18.52314814814815
2,1001,1897,65.15,18.41666666666667
3,1001,1898,63.81666666666667,17.675925925925927
4,1001,1899,63.925,17.73611111111111
5,1001,1900,64.175,17.875
6,1001,1901,62.29166666666666,16.828703703703702
7,1001,1902,64.51666666666667,18.064814814814813
8,1001,1903,62.891666666666666,17.162037037037035
9,1001,1904,64.075,17.819444444444443
10,1001,1905,63.7,17.61111111111111
11,1001,1906,63.875,17.708333333333332
12,1001,1907,64.6,18.111111111111107
13,1001,1908,64.86666666666667,18.259259259259263
14,1001,1909,64.56666666666666,18.09259259259259
15,1001,1910,63.49166666666667,17.49537037037037
16,1001,1911,66.09166666666667,18.939814814814817
17,1001,1912,63.09166666666667,17.27314814814815
18,1001,1913,64.01666666666667,17.787037037037035
19,1001,1914,63.13333333333333,17.296296296296294
20,1001,1915,63.86666666666667,17.703703703703706
21,1001,1916,64.14166666666667,17.85648148148148
22,1001,1917,62.725,17.069444444444443
23,1001,1918,64.80833333333334,18.22685185185185
24,1001,1919,65.05,18.36111111111111
25,1001,1920,63.016666666666666,17.23148148148148
26,1001,1921,66.49166666666667,19.16203703703704
27,1001,1922,66.34166666666667,19.078703703703702
28,1001,1923,64.40833333333333,18.00462962962963
29,1001,1924,63.25833333333333,17.36574074074074
30,1001,1925,65.69166666666666,18.71759259259259
31,1001,1926,63.766666666666666,17.648148148148145
32,1001,1927,66.675,19.26388888888889
33,1001,1928,63.66666666666666,17.59259259259259
34,1001,1929,64.59166666666667,18.10648148148148
35,1001,1930,64.20833333333333,17.893518518518515
36,1001,1931,64.825,18.23611111111111
37,1001,1932,65.1,18.38888888888889
38,1001,1933,66.075,18.93055555555556
39,1001,1934,64.13333333333334,17.851851851851855
40,1001,1935,64.50833333333334,18.060185185185187
41,1001,1936,64.825,18.23611111111111
42,1001,1937,64.3,17.944444444444443
43,1001,1938,65.19166666666666,18.439814814814813
44,1001,1939,64.90833333333333,18.282407407407405
45,1001,1940,62.016666666666666,16.675925925925924
